Frequency;Time;Path;Values;h=10;h=20;h=37.5;h=75;h=150;h=300;h=600;h=1200;Max Field in dBuV;ID;Code
100;50;land;1;89.975852;92.181157;94.635547;97.384505;100.318067;103.120502;105.242609;106.356584;106.9;1;100_50_land
100;50;land;2;80.275128;83.090807;86.00138;89.207574;92.674184;96.119692;98.857707;100.284591;100.8794;2;100_50_land
100;50;land;3;74.166239;77.529572;80.82345;84.350391;88.142741;91.968629;95.095801;96.730553;97.357575;3;100_50_land
100;50;land;4;69.518418;73.354816;77.014863;80.83122;84.885018;88.993402;92.41247;94.207699;94.8588;4;100_50_land
100;50;land;5;65.69942;69.920619;73.924833;78.021358;82.313726;86.660124;90.320287;92.24977;92.9206;5;100_50_land
100;50;land;6;62.435852;66.95776;71.272338;75.640654;80.163501;84.727135;88.600472;90.648882;91.336975;6;100_50_land
100;50;land;7;59.580317;64.332176;68.916118;73.542303;78.291523;83.063318;87.135157;89.29397;89.998039;7;100_50_land
100;50;land;8;57.041171;61.967283;66.778309;71.642351;76.612716;81.589073;85.853051;88.118573;88.8382;8;100_50_land
100;50;land;9;54.755982;59.813965;64.812656;69.890311;75.073307;80.252365;84.707392;87.079662;87.81515;9;100_50_land
100;50;land;10;52.679639;57.837704;62.989553;68.254774;73.6382;79.017504;83.665614;86.147696;86.9;10;100_50_land
100;50;land;11;50.778224;56.012601;61.288551;66.71556;72.284151;77.859317;82.703995;85.301451;86.072146;11;100_50_land
100;50;land;12;49.025504;54.318341;59.694488;65.259188;70.995694;76.759834;81.80468;84.525108;85.316375;12;100_50_land
100;50;land;13;47.400748;52.738521;58.195448;63.876181;69.76252;75.706242;80.953922;83.806508;84.621133;13;100_50_land
100;50;land;14;45.887292;51.259635;56.781648;62.559472;68.577707;74.689515;80.141009;83.13607;83.977439;14;100_50_land
100;50;land;15;44.471549;49.870406;55.444826;61.303469;67.436528;73.703427;79.357567;82.506076;83.378175;15;100_50_land
100;50;land;16;43.142302;48.561319;54.177862;60.103501;66.335633;72.743795;78.59709;81.9102;82.8176;16;100_50_land
100;50;land;17;41.890198;47.324273;52.974551;58.955517;65.272514;71.807899;77.854603;81.343177;82.291022;17;100_50_land
100;50;land;18;40.707358;46.152327;51.829432;57.855898;64.245156;70.894024;77.126392;80.800578;81.79455;18;100_50_land
100;50;land;19;39.587089;45.039488;50.737681;56.801363;63.251832;70.001117;76.409783;80.278643;81.324928;19;100_50_land
100;50;land;20;38.523662;43.980553;49.695009;55.788902;62.290968;69.128528;75.702949;79.77416;80.8794;20;100_50_land
100;50;land;25;33.906877;39.353167;45.096999;51.267648;57.923133;65.057416;72.290194;77.430187;78.9412;21;100_50_land
100;50;land;30;30.181101;35.575326;41.290077;47.459335;54.161053;61.436134;69.082123;75.24705;77.357575;22;100_50_land
100;50;land;35;27.102165;32.409272;38.052688;44.171197;50.859376;58.194286;66.099112;73.137574;76.018639;23;100_50_land
100;50;land;40;24.51782;29.703944;35.239021;41.267845;47.901729;55.251096;63.331892;71.082292;74.8588;24;100_50_land
100;50;land;45;22.324232;27.356109;32.748142;38.652583;45.19899;52.532544;60.746502;69.082851;73.83575;25;100_50_land
100;50;land;50;20.44567;25.291689;30.508235;36.256256;42.685292;49.978308;58.301307;67.139023;72.9206;26;100_50_land
100;50;land;55;18.824162;23.455968;28.46789;34.030371;40.314208;47.543206;55.95751;65.243052;72.092746;27;100_50_land
100;50;land;60;17.413824;21.807891;26.590669;31.942327;38.055323;45.196392;53.683883;63.38176;71.336975;28;100_50_land
100;50;land;65;16.177532;20.316355;24.851189;29.971576;35.89097;42.919531;51.458278;61.540308;70.641733;29;100_50_land
100;50;land;70;15.084811;18.957532;23.231999;28.106245;33.812984;40.704406;49.267439;59.705222;69.998039;30;100_50_land
100;50;land;75;14.110428;17.712841;21.721003;26.340144;31.819589;38.550265;47.105869;57.866225;69.398775;31;100_50_land
100;50;land;80;13.233379;16.5674;20.309404;24.670258;29.912603;36.46116;44.974219;56.017025;68.8382;32;100_50_land
100;50;land;85;12.436137;15.508884;18.990163;23.094821;28.095169;34.443562;42.877491;54.155361;68.311621;33;100_50_land
100;50;land;90;11.70406;14.526731;17.756983;21.612009;26.370112;32.504418;40.823265;52.282561;67.81515;34;100_50_land
100;50;land;95;11.024921;13.611629;16.603707;20.219207;24.738938;30.649757;38.820156;50.402856;67.345528;35;100_50_land
100;50;land;100;10.388525;12.75521;15.524069;18.912717;23.201374;28.883852;36.876559;48.522573;66.9;36;100_50_land
100;50;land;110;9.21146;11.188785;13.559993;16.538857;20.397099;25.624759;33.19543;44.791371;66.072146;37;100_50_land
100;50;land;120;8.120958;9.775007;11.813599;14.444151;17.923485;22.720205;29.817323;41.153416;65.316375;38;100_50_land
100;50;land;130;7.081758;8.47176;10.237193;12.577955;15.732972;20.138921;26.75086;37.666046;64.621133;39;100_50_land
100;50;land;140;6.070394;7.246432;8.789752;10.892439;13.774902;17.837208;23.981533;34.370263;63.977439;40;100_50_land
100;50;land;150;5.071714;6.074722;7.438162;9.346499;12.002404;15.768665;21.480733;31.288462;63.378175;41;100_50_land
100;50;land;160;4.076377;4.93919;6.156958;7.906945;10.375587;13.890122;19.213831;28.426623;62.8176;42;100_50_land
100;50;land;170;3.079057;3.827778;4.927268;6.548108;8.862259;12.164385;17.145787;25.778524;62.291022;43;100_50_land
100;50;land;180;2.077166;2.732491;3.73554;5.250735;7.437347;10.560916;15.244355;23.330171;61.79455;44;100_50_land
100;50;land;190;1.069944;1.64831;2.572312;4.000724;6.081793;9.055424;13.481508;21.063518;61.324928;45;100_50_land
100;50;land;200;0.057808;0.57233;1.431171;2.78794;4.78136;7.628982;11.833768;18.95917;60.8794;46;100_50_land
100;50;land;225;-2.485571;-2.088893;-1.348877;-0.122912;1.709288;4.321613;8.100969;14.287235;59.85635;47;100_50_land
100;50;land;250;-5.026417;-4.707595;-4.044637;-2.90354;-1.176759;1.279258;4.767244;10.263072;58.9412;48;100_50_land
100;50;land;275;-7.538997;-7.273236;-6.661949;-5.577762;-3.922033;-1.57246;1.713116;6.706292;58.113346;49;100_50_land
100;50;land;300;-10.003377;-9.774718;-9.199125;-8.154263;-6.547809;-4.272572;-1.130267;3.495549;57.357575;50;100_50_land
100;50;land;325;-12.406876;-12.204732;-11.654455;-10.637506;-9.066119;-6.844046;-3.805172;0.549411;56.662333;51;100_50_land
100;50;land;350;-14.743468;-14.560645;-14.028746;-13.032086;-11.486241;-9.303027;-6.340266;-2.188532;56.018639;52;100_50_land
100;50;land;375;-17.012525;-16.844031;-16.325754;-15.344155;-13.817302;-11.663058;-8.757319;-4.759376;55.419375;53;100_50_land
100;50;land;400;-19.217485;-19.059792;-18.551801;-17.581593;-16.069123;-13.936864;-11.074556;-7.194799;54.8588;54;100_50_land
100;50;land;425;-21.364677;-21.215247;-20.715154;-19.753705;-18.252309;-16.137;-13.308275;-9.520527;54.332221;55;100_50_land
100;50;land;450;-23.462348;-23.319328;-22.82539;-21.870779;-20.378035;-18.275985;-15.473584;-11.758346;53.83575;56;100_50_land
100;50;land;475;-25.519898;-25.381915;-24.892837;-23.943635;-22.457741;-20.366198;-17.584693;-13.927251;53.366128;57;100_50_land
100;50;land;500;-27.54727;-27.413291;-26.928099;-25.983228;-24.502821;-22.419702;-19.654974;-16.044088;52.9206;58;100_50_land
100;50;land;525;-29.55447;-29.423708;-28.941657;-28.000291;-26.524328;-24.448036;-21.696918;-18.123902;52.496814;59;100_50_land
